Time;IBI;HR;LVET;HRS;Sys;Dia;MAP;SV;CO;SVR;SVI;CI;SVRI;dP/dt;COCalibr
21.675000;1,100;55;0,340;20;109;77;88;69;3,7;1885;34;1,9;3755;552;-1,000
22.775000;1,120;54;0,335;20;109;77;88;70;3,8;1875;35;1,9;3735;561;-1,000
23.895000;1,195;50;0,345;20;115;76;89;71;3,5;2020;35;1,8;4020;558;-1,000
25.090000;1,225;49;0,350;20;114;75;88;79;3,9;1820;40;1,9;3625;552;-1,000
26.315000;1,220;49;0,340;20;111;74;86;78;3,8;1803;39;1,9;3590;522;-1,000
27.535000;1,170;51;0,350;20;106;71;84;79;4,1;1663;40;2,0;3310;467;-1,000
28.705000;1,135;53;0,350;20;103;71;84;75;3,9;1698;37;2,0;3380;423;-1,000
29.840000;1,100;55;0,350;20;103;72;84;71;3,8;1748;35;1,9;3480;398;-1,000
30.940000;1,025;59;0,350;20;102;72;84;69;4,1;1643;35;2,0;3270;389;-1,000
31.965000;1,035;58;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
33.000000;1,065;56;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
34.065000;1,110;54;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
35.175000;1,100;55;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
36.275000;1,100;55;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
37.375000;1,100;55;0,350;20;102;73;84;69;4,1;1643;35;2,0;3270;389;-1,000
38.475000;1,100;55;0,345;20;113;77;89;72;3,9;1820;36;2,0;3625;509;-1,000
39.575000;1,115;54;0,345;20;113;76;89;72;3,9;1833;36;1,9;3650;498;-1,000
40.690000;1,140;53;0,345;20;113;75;89;74;3,9;1838;37;1,9;3660;503;-1,000
41.830000;1,125;53;0,335;20;114;77;90;73;3,9;1838;37;1,9;3660;513;-1,000
42.955000;1,080;56;0,350;20;112;75;89;76;4,2;1683;38;2,1;3355;509;-1,000
44.035000;1,070;56;0,325;20;112;77;88;68;3,8;1855;34;1,9;3695;483;-1,000
45.105000;1,090;55;0,345;20;109;75;86;73;4,0;1718;37;2,0;3420;448;-1,000
